,FTR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,BbAvH,BbAvD,BbAvA
156,1,6.5,4.2,1.57,6.24,4.24,1.6,6.5,3.75,1.57,6.1,4.06,1.57
157,2,1.4,4.75,10.0,1.45,4.59,9.0,1.4,4.33,9.0,1.41,4.42,8.84
158,1,1.36,5.5,9.0,1.39,5.32,9.0,1.4,4.33,9.0,1.37,4.96,8.4
159,3,3.2,3.5,2.35,3.11,3.59,2.38,3.2,3.2,2.3,3.07,3.4,2.33
160,3,1.33,5.25,12.0,1.32,5.69,11.8,1.3,5.0,11.0,1.31,5.32,10.91
161,1,2.1,3.75,3.6,2.07,3.8,3.65,2.1,3.3,3.5,2.05,3.61,3.51
162,1,1.45,4.5,8.5,1.47,4.5,8.45,1.44,4.2,8.0,1.45,4.35,7.74
163,2,2.05,3.5,4.0,2.03,3.58,4.02,2.0,3.2,4.0,2.0,3.41,3.91
164,1,2.7,3.4,2.8,2.66,3.44,2.83,2.7,3.1,2.7,2.62,3.27,2.77
165,1,2.5,3.2,3.2,2.51,3.3,3.14,2.4,3.1,3.1,2.44,3.19,3.07
166,1,2.55,3.3,3.0,2.64,3.27,2.98,2.6,3.1,2.8,2.53,3.22,2.91
167,2,2.1,3.4,3.9,2.1,3.46,3.92,2.15,3.25,3.5,2.07,3.35,3.74
168,3,4.2,3.6,1.95,4.14,3.55,2.01,4.0,3.2,2.0,4.02,3.43,1.96
169,3,2.45,3.5,3.0,2.38,3.58,3.12,2.4,3.1,3.1,2.37,3.45,2.99
170,2,2.63,3.25,2.75,2.66,3.29,2.94,2.7,3.1,2.7,2.63,3.15,2.83
171,2,2.4,3.3,3.0,2.48,3.45,3.06,2.5,3.2,2.9,2.42,3.33,2.98
172,2,1.44,4.5,7.5,1.52,4.52,7.14,1.44,4.2,8.0,1.49,4.29,7.03
173,3,1.91,3.8,3.8,1.95,3.87,4.0,1.95,3.5,3.8,1.93,3.72,3.81
174,3,1.2,7.0,13.0,1.21,7.65,16.0,1.22,6.0,13.0,1.21,6.91,13.59
175,1,3.2,3.5,2.2,3.37,3.58,2.25,3.25,3.3,2.25,3.24,3.45,2.22
176,3,3.6,3.5,2.05,3.6,3.53,2.18,3.6,3.3,2.1,3.51,3.41,2.11
177,3,3.25,3.2,2.3,3.33,3.31,2.4,3.1,3.1,2.4,3.21,3.17,2.36
178,3,1.91,3.4,4.5,1.96,3.42,4.58,2.05,3.1,4.0,1.96,3.3,4.23
179,3,1.4,4.75,8.0,1.46,4.77,8.0,1.44,4.2,8.0,1.43,4.55,7.7
180,3,1.44,4.75,8.0,1.45,4.86,8.07,1.36,4.8,8.5,1.43,4.58,7.76
181,2,2.1,3.4,4.0,2.09,3.41,4.03,1.91,3.5,4.0,2.07,3.31,3.8
182,1,1.95,3.6,4.2,1.95,3.63,4.3,1.95,3.5,3.8,1.93,3.51,4.11
183,2,2.6,3.3,3.0,2.6,3.38,2.95,2.62,3.1,3.0,2.55,3.22,2.91
184,3,2.05,3.6,3.8,2.05,3.53,4.02,2.05,3.4,3.6,2.04,3.42,3.78
185,1,3.75,3.5,2.1,3.92,3.55,2.07,3.5,3.25,2.15,3.65,3.42,2.08
186,3,2.2,3.25,3.75,2.18,3.35,3.8,2.25,3.2,3.3,2.16,3.26,3.58
187,3,3.6,3.4,2.2,3.57,3.41,2.24,3.4,3.2,2.2,3.44,3.26,2.22
188,2,4.33,4.0,1.85,4.25,4.1,1.85,3.75,3.75,1.91,4.12,3.87,1.83
189,1,5.5,3.9,1.7,5.51,3.91,1.71,4.75,3.6,1.75,5.22,3.74,1.7
190,3,1.29,6.5,11.0,1.27,6.47,12.81,1.3,5.0,11.0,1.27,5.87,11.2
